id;удой;эке;протеин;спо;порода;Жирность,%
1;5863;14,2;1743;0,89;Вис Бик Айдиал;3,58
2;5529;12,8;2138;0,94;Вис Бик Айдиал;3,54
3;5810;14;1854;0,93;РефлешнСоверинг;103,59
4;5895;12,4;2012;0,89;РефлешнСоверинг;3,4
5;5302;12,8;;0,93;Вис Бик Айдиал;3,73
6;5254;12,7;1806;0,89;РефлешнСоверинг;3,13
7;5910;12,2;;0,93;Вис Бик Айдиал;3,48
8;6179;14,7;1806;0,93;Вис Бик Айдиал;3,55
9;6783;14,2;1918;0,94;РефлешнСоверинг;3,71
10;5339;13,4;1791;0,89;Вис Бик Айдиал;3,13
11;5591;13,7;1678;0,84;РефлешнСоверинг;3,13
12;6563;16,5;2328;0,94;Вис Бик Айдиал;3,71
13;6173;15,4;2193;0,94;РефлешнСоверинггггг;3,72
14;613100;14,5;1766;0,94;РефлешнСоверинггггг;3,61
15;6014;16;1769;0,94;РефлешнСоверинггггг;3,71
16;6518;15,6;1747;0,93;РефлешнСоверинггггг;3,73
17;6521;11,5;1675;0,84;РефлешнСоверинггггг;3,22
18;5777;12,4;1873;0,89;Вис Бик Айдиал;3,03
19;6461;15,7;2159;0,93;РефлешнСоверинг;3,72
20;5698;14,3;1759;0,94;РефлешнСоверинг;3,49
21;6752;15,5;1924;0,94;РефлешнСоверинг;3,73
22;6278;14,6;1947;0,94;РефлешнСоверинг;3,49
23;6244;15,9;2134;0,95;Вис Бик Айдиал;3,73
24;6320;14,3;1822;0,93;Вис Бик Айдиал;3,71
25;5372;13,2;1703;0,84;Вис Бик Айдиал;3,31
26;6365;15,2;1821;0,94;Вис Бик Айдиал;3,73
27;6051;14,8;1901;0,94;РефлешнСоверинггггг;3,72
28;7028;16,4;2303;0,94;РефлешнСоверинггггг;3,7
29;6159;14,6;2173;0,95;Вис Бик Айдиал;3,74
30;6672;16,5;1840;0,93;Вис Бик Айдиал;3,73
31;5242;11,8;1764;0,89;Вис Бик Айдиал;3,21
32;6674;14,4;1994;0,93;РефлешнСоверинг;3,71
33;6930;15,7;1788;0,94;РефлешнСоверинг;3,72
34;6837;16,1;2141;0,93;Вис Бик Айдиал;3,72
35;5356;12,9;1734;0,89;Вис Бик Айдиал;3,11
36;6401;16,4;1768;0,94;РефлешнСоверинг;3,71
37;5150;13,8;1702;0,89;Вис Бик Айдиал;3,11
38;6016;14,2;2269;0,93;РефлешнСоверинг;3,72
39;5702;13,3;1745;0,89;Вис Бик Айдиал;3,49
40;6303;16,3;1726;0,94;РефлешнСоверинг;3,7
41;6400;14,6;1824;0,92;Вис Бик Айдиал;3,49
42;6581;15,5;1797;0,94;Вис Бик Айдиал;3,71
43;6033;13,9;1717;0,93;РефлешнСоверинг;3,72
44;5888;14,5;1830;0,93;РефлешнСоверинг;3,49
45;7061;16,4;2041;0,94;Вис Бик Айдиал;3,72
46;5796;14,1;1797;0,93;Вис Бик Айдиал;3,49
47;7173;16,7;2146;0,95;РефлешнСоверинг;3,72
48;6561;15,8;1932;0,93;РефлешнСоверинг;3,71
49;6370;15,5;1974;0,95;РефлешнСоверинг;3,73
50;6876;16,2;1930;0,94;РефлешнСоверинг;3,71
51;5593;13,4;1675;0,89;Вис Бик Айдиал;3,25
52;6353;14,7;1867;0,94;РефлешнСоверинг;3,72
53;5517;12,2;1905;0,88;Вис Бик Айдиал;3,34
54;5378;14,9;1784;0,88;Вис Бик Айдиал;3,24
55;5383;13,6;1955;0,88;РефлешнСоверинг;3,53
56;5492;12,5;1816;0,94;РефлешнСоверинг;3,53
57;5643;13,4;2041;0,94;РефлешнСоверинг;3,53
58;6601;15,7;2097;0,94;Вис Бик Айдиал;3,73
59;6274;14,8;2264;0,94;Вис Бик Айдиал;3,53
60;6697;16,5;1769;0,93;РефлешнСоверинг;3,71
61;6924;16,4;2121;0,94;РефлешнСоверинг;3,72
62;5039;11,8;1664;0,84;РефлешнСоверинг;3,16
63;6564;16,3;1991;0,93;Вис Бик Айдиал;3,71
64;6073;14;2122;0,94;РефлешнСоверинг;3,53
65;6559;16,3;2058;0,94;РефлешнСоверинг;3,72
66;6163;15,2;1999;0,93;Вис Бик Айдиал;3,72
67;6006;14,6;2327;0,94;РефлешнСоверинг;3,71
68;5940;14,2;2100;0,94;РефлешнСоверинг;3,53
69;5279;15,2;2122;0,88;Вис Бик Айдиал;3,48
70;5565;12,5;1894;0,93;Вис Бик Айдиал;3,61
71;7222;16,8;2157;0,94;Вис Бик Айдиал;3,7
72;5809;13,5;2093;0,94;РефлешнСоверинг;3,61
73;5718;13,7;2212;0,94;РефлешнСоверинг;3,61
